Episode,Time steps,Episode Rewards,Average Rewards,Epsilon,Elapsed,Total Elapsed
1,11,6.585121091371051,0.5986473719428228,0.0,9.976447105407715,9.976447105407715
2,13,7.444444444444442,0.5726495726495725,0.0,3.0542242527008057,13.34267544746399
3,21,13.49809744949208,0.6427665452139086,0.0,5.600471019744873,18.944149017333984
4,15,8.666666666666664,0.5777777777777776,0.0,4.1195759773254395,23.063724994659424
5,47,29.780061707856074,0.6336183342097037,0.0,12.059768676757812,35.12449669837952
6,30,19.60986491140481,0.6536621637134936,0.0,7.648823499679565,42.77332019805908
7,32,19.055555555555546,0.5954861111111108,0.0,8.384107112884521,51.158429861068726
8,34,20.59323447701105,0.6056833669709132,0.0,7.661629915237427,58.82106113433838
9,99,63.23928624814526,0.6387806691731844,0.0,25.53192901611328,84.35399174690247
10,56,34.753648739237626,0.6206008703435291,0.0,14.155840635299683,98.51083302497864
11,9,4.999999999999999,0.5555555555555555,0.0,2.5070366859436035,101.01886868476868
12,18,11.190303314055297,0.6216835174475165,0.0,4.390059947967529,105.40992665290833
13,9,4.999999999999999,0.5555555555555555,0.0,1.9470269680023193,107.35695362091064
14,69,43.01424311896945,0.6233948278111515,0.0,16.917430639266968,124.27538442611694
15,36,22.903375815721112,0.6362048837700309,0.0,9.017838954925537,133.29422426223755
16,39,25.133126406291925,0.6444391386228698,0.0,8.497284650802612,141.79150891304016
17,82,52.22525248961387,0.6368933230440716,0.0,21.058725357055664,162.85123229026794
18,28,18.134083889892604,0.6476458532104502,0.0,7.404404163360596,170.25563645362854
19,24,15.57447775578264,0.64893657315761,0.0,6.190086126327515,176.44572257995605
20,12,7.19682111081951,0.5997350925682925,0.0,2.7310378551483154,179.17676043510437
21,60,37.60144074025965,0.6266906790043275,0.0,13.437693357467651,192.61445379257202
22,83,51.63211127392788,0.62207362980636,0.0,20.845986127853394,213.46043992042542
23,16,9.939397581440149,0.6212123488400093,0.0,4.266141891479492,217.72758197784424
24,51,30.979447790495634,0.6074401527548163,0.0,12.720208644866943,230.44879055023193
25,35,22.75159646412678,0.6500456132607652,0.0,9.485024452209473,239.93481421470642
26,80,49.94108596064257,0.624263574508032,0.0,20.39238715171814,260.32720136642456
27,61,38.15421901793179,0.6254790002939637,0.0,16.968290328979492,277.29549169540405
28,73,46.36270355304417,0.6351055281238928,0.0,17.706406831741333,295.0028989315033
29,18,11.696770680885136,0.6498205933825075,0.0,3.9910566806793213,298.9939556121826
30,14,8.055555555555554,0.5753968253968252,0.0,3.7840511798858643,302.7780067920685
31,8,4.761878476829029,0.5952348096036286,0.0,2.0660288333892822,304.84403562545776
32,8,4.739902893409512,0.592487861676189,0.0,2.6090362071990967,307.45307183265686
33,54,32.88034672217586,0.6088953096699233,0.0,14.781205415725708,322.23527693748474
34,12,6.833333333333331,0.5694444444444443,0.0,2.7030375003814697,324.9383144378662
35,10,5.61111111111111,0.561111111111111,0.0,2.144029378890991,327.0833444595337
36,44,27.520096734961264,0.6254567439763924,0.0,10.297139644622803,337.38148379325867
37,13,7.444444444444442,0.5726495726495725,0.0,3.146040916442871,340.52752470970154
38,5,3.2251103528435334,0.6450220705687066,0.0,1.0780136585235596,341.6055383682251
39,30,18.158624078810796,0.6052874692936931,0.0,7.250188589096069,348.85572695732117
40,99,61.830447329533975,0.6245499730255957,0.0,23.87215805053711,372.7288861274719
41,54,34.02624785046619,0.6301157009345592,0.0,13.470436573028564,386.1993227005005
42,99,61.56504533634999,0.621869144811616,0.0,23.331720113754272,409.53204441070557
43,52,32.9147644735412,0.6329762398757922,0.0,12.707165002822876,422.24021077156067
44,40,23.805555555555546,0.5951388888888887,0.0,11.74529242515564,433.9855031967163
45,14,8.055555555555554,0.5753968253968252,0.0,3.437045097351074,437.4225482940674
46,91,57.246084972355824,0.629077856839075,0.0,21.079648733139038,458.5021970272064
47,79,49.58516654805108,0.6276603360512795,0.0,20.054615259170532,478.55681228637695
48,98,60.024865774833366,0.6124986303554425,0.0,23.11305546760559,501.67086696624756
49,66,40.86362699608285,0.6191458635770128,0.0,15.110149383544922,516.7820177078247
50,99,60.78432227046027,0.6139830532369724,0.0,24.489203453063965,541.2712211608887
51,9,4.999999999999999,0.5555555555555555,0.0,2.1350274085998535,543.4072496891022
52,99,64.34881076265982,0.6499879875016144,0.0,24.365646839141846,567.7738966941833
53,53,31.833333333333318,0.6006289308176098,0.0,14.299187421798706,582.073084115982
54,9,4.999999999999999,0.5555555555555555,0.0,1.9690251350402832,584.0421092510223
55,14,8.055555555555554,0.5753968253968252,0.0,2.8190860748291016,586.8621952533722
56,9,4.999999999999999,0.5555555555555555,0.0,2.1050257682800293,588.9682223796844
57,7,5.176833964566599,0.7395477092237999,0.0,1.6570234298706055,590.625245809555
58,9,4.999999999999999,0.5555555555555555,0.0,1.9060277938842773,592.5322713851929
59,78,47.44972914136495,0.6083298607867301,0.0,17.506407976150513,610.0396790504456
60,40,25.154047473446038,0.6288511868361509,0.0,10.239757537841797,620.2794365882874
61,77,48.37119247500979,0.628197304870257,0.0,20.114830493927002,640.3942670822144
62,12,7.7756047418005165,0.6479670618167097,0.0,3.7650465965270996,644.1593136787415
63,8,4.388888888888888,0.548611111111111,0.0,1.8390235900878906,645.9983372688293
64,52,32.47898758959622,0.6245959151845427,0.0,12.881155252456665,658.8804941177368
65,41,26.12581451435184,0.637214988154923,0.0,9.09508204460144,667.9765765666962
