Episode,Time steps,Episode Rewards,Average Rewards,Epsilon,Elapsed,Total Elapsed
1,9,7.097486166485967,0.7886095740539963,0.0,1.1196296215057373,1.1196296215057373
2,13,10.66436215347243,0.82033555026711,0.0,0.9421353340148926,2.0687527656555176
3,24,21.7826451966152,0.9076102165256333,0.0,1.6278181076049805,3.696570873260498
4,5,4.500290140954595,0.9000580281909191,0.0,0.327678918838501,4.024249792098999
5,15,12.64678398691678,0.8431189324611187,0.0,0.9858191013336182,5.010068893432617
6,55,48.59544100267264,0.8835534727758663,0.0,3.389674186706543,8.39974308013916
7,37,32.379426084975364,0.875119623918253,0.0,2.6569602489471436,11.072331190109253
8,54,48.34358140797657,0.8952515075551217,0.0,3.506917715072632,14.579248905181885
9,33,29.83107695305916,0.9039720288805806,0.0,2.3530964851379395,16.932345390319824
10,99,88.38100315687933,0.8927374056250438,0.0,6.4311370849609375,23.36348247528076
11,5,3.605492804651033,0.7210985609302065,0.0,0.34365010261535645,23.707132577896118
12,10,8.040379202691135,0.8040379202691135,0.0,0.6881535053253174,24.410943508148193
13,65,58.664354381469686,0.9025285289456875,0.0,4.228731870651245,28.63967537879944
14,9,8.22574484176077,0.91397164908453,0.0,0.5804176330566406,29.22009301185608
15,39,34.91416732255941,0.8952350595528054,0.0,2.410015106201172,31.63010811805725
16,65,58.1125830449678,0.8940397391533508,0.0,4.204564094543457,35.83467221260071
17,13,10.661898556614537,0.8201460428165028,0.0,0.8380651473999023,36.67273736000061
18,99,88.42522561160597,0.8931840970869289,0.0,5.98213791847229,42.6548752784729
19,51,45.33771357031451,0.8889747758885198,0.0,3.221407890319824,45.876283168792725
20,99,88.36073107564961,0.8925326371277739,0.0,6.443683624267578,52.3199667930603
21,99,87.46048964632108,0.8834392893567786,0.0,6.587217092514038,58.90718388557434
22,9,7.213487119850886,0.8014985688723207,0.0,0.6357665061950684,59.54295039176941
23,10,9.337051433817525,0.9337051433817525,0.0,0.6491506099700928,60.1921010017395
24,76,67.11701003990213,0.8831185531566069,0.0,5.215404748916626,65.40750575065613
25,11,9.966809031370943,0.9060735483064494,0.0,0.7054057121276855,66.11291146278381
26,45,40.681861530371656,0.9040413673415924,0.0,2.814143180847168,68.92805695533752
27,18,16.055231666836864,0.8919573148242702,0.0,1.2530508041381836,70.18110775947571
28,34,29.853861809965167,0.8780547591166226,0.0,2.313141345977783,72.49424910545349
29,14,11.050762729421027,0.7893401949586448,0.0,0.9443647861480713,73.43861389160156
30,8,6.516672954434789,0.8145841193043486,0.0,0.5113749504089355,73.9499888420105
31,97,84.10868206381372,0.8670998150908631,0.0,6.086970090866089,80.03795981407166
32,69,61.2482668152562,0.8876560408008145,0.0,4.503737688064575,84.54169750213623
33,10,8.237588162433713,0.8237588162433713,0.0,0.6695516109466553,85.21124911308289
34,14,12.43333050916547,0.8880950363689621,0.0,0.9680697917938232,86.17931890487671
